respondent,assigned_class,post_profile_0,post_profile_1
469,0,0.9074459016110682,0.09255409838893183
470,0,0.7922202802150948,0.20777971978490514
471,1,0.4578692119093789,0.5421307880906212
472,1,0.37268670999519105,0.6273132900048091
473,0,0.8367322011739955,0.16326779882600448
474,0,0.8367322011739955,0.16326779882600448
475,0,0.8799887993279241,0.12001120067207591
476,1,0.43304757008960476,0.5669524299103952
477,0,0.8486496577447404,0.15135034225525967
478,0,0.8799887993279241,0.12001120067207591
479,0,0.9196398183364037,0.08036018166359632
480,0,0.919997572111041,0.08000242788895913
481,1,0.48581042473464325,0.5141895752653567
482,0,0.9082674359843185,0.09173256401568156
483,0,0.8367322011739955,0.16326779882600448
484,0,0.9082674359843185,0.09173256401568156
485,0,0.8367322011739955,0.16326779882600448
486,0,0.9098715210949928,0.09012847890500726
487,0,0.6947703708977992,0.30522962910220064
488,0,0.6530777731073946,0.3469222268926054
489,0,0.7922202802150948,0.20777971978490514
490,1,0.48581042473464325,0.5141895752653567
491,0,0.9082674359843185,0.09173256401568156
492,0,0.863876634731978,0.13612336526802205
493,1,0.016610225463235827,0.9833897745367641
494,0,0.9212317466791067,0.07876825332089328
495,0,0.9082674359843185,0.09173256401568156
496,0,0.8566874661891276,0.1433125338108723
497,1,0.12407860988598868,0.8759213901140112
498,0,0.9082674359843185,0.09173256401568156
499,0,0.8367322011739955,0.16326779882600448
500,0,0.7258787746327156,0.2741212253672845
501,1,1.6480629171556585e-08,0.9999999835193708
502,1,0.007918296661726032,0.9920817033382738
503,0,0.9212317466791067,0.07876825332089328
504,1,0.12407860988598868,0.8759213901140112
505,0,0.9155583687304025,0.08444163126959771
506,0,0.8367322011739955,0.16326779882600448
507,1,0.30775969470781644,0.6922403052921837
508,0,0.9155583687304025,0.08444163126959771
509,0,0.8566874661891276,0.1433125338108723
510,0,0.9196398183364037,0.08036018166359632
511,0,0.8551229964166008,0.14487700358339914
512,1,0.04931312321932172,0.9506868767806781
513,0,0.8184007155377541,0.18159928446224588
514,1,0.1287465909103955,0.871253409089604
515,0,0.7922202802150948,0.20777971978490514
516,0,0.9141927262017082,0.08580727379829184
517,0,0.8947770680258257,0.10522293197417432
518,0,0.6947703708977992,0.30522962910220064
519,0,0.9212317466791067,0.07876825332089328
520,0,0.9176175896850907,0.08238241031490931
521,0,0.8367322011739955,0.16326779882600448
522,1,0.007918296661726032,0.9920817033382738
523,1,0.4578692119093789,0.5421307880906212
524,0,0.8799887993279241,0.12001120067207591
525,1,0.0652380698961143,0.9347619301038856
526,0,0.7922202802150948,0.20777971978490514
527,0,0.8551229964166008,0.14487700358339914
528,1,0.0906581141862837,0.9093418858137164
529,0,0.5341654868192665,0.4658345131807333
530,0,0.7084992382795349,0.291500761720465
531,0,0.5292801819648223,0.47071981803517765
532,0,0.897095225456204,0.10290477454379605
533,0,0.7922202802150948,0.20777971978490514
534,0,0.6530777731073946,0.3469222268926054
535,1,0.37268670999519105,0.6273132900048091
536,0,0.9074459016110682,0.09255409838893183
537,0,0.562830487458189,0.43716951254181097
538,0,0.6947703708977992,0.30522962910220064
539,0,0.8907236239108801,0.1092763760891198
540,1,0.43304757008960476,0.5669524299103952
541,0,0.8799887993279241,0.12001120067207591
542,0,0.6530777731073946,0.3469222268926054
543,0,0.8184007155377541,0.18159928446224588
544,0,0.7922202802150948,0.20777971978490514
545,0,0.8942790671658533,0.10572093283414667
546,0,0.9082674359843185,0.09173256401568156
547,0,0.9082674359843185,0.09173256401568156
548,0,0.9082674359843185,0.09173256401568156
549,0,0.9082674359843185,0.09173256401568156
550,0,0.9082674359843185,0.09173256401568156
551,0,0.9082674359843185,0.09173256401568156
552,1,0.005109373454625513,0.9948906265453745
553,1,0.03576496867310303,0.964235031326897
554,1,1.6480629171556585e-08,0.9999999835193708
555,1,0.005109373454625513,0.9948906265453745
556,1,3.7670064645873376e-06,0.9999962329935355
557,1,0.042126750017022006,0.9578732499829778
558,1,0.02682643373521553,0.9731735662647846
559,1,0.00392476667909443,0.9960752333209058
560,0,0.7084992382795349,0.291500761720465
561,1,0.20299020429399467,0.7970097957060054
562,1,2.7743836244598326e-05,0.9999722561637557
563,1,0.0014094426137517032,0.9985905573862481
564,1,1.6480629171556585e-08,0.9999999835193708
565,0,0.8486496577447404,0.15135034225525967
566,0,0.8367322011739955,0.16326779882600448
567,0,0.6530777731073946,0.3469222268926054
568,0,0.8184007155377541,0.18159928446224588
569,0,0.8184007155377541,0.18159928446224588
570,0,0.8184007155377541,0.18159928446224588
571,0,0.8367322011739955,0.16326779882600448
572,0,0.8367322011739955,0.16326779882600448
573,0,0.8367322011739955,0.16326779882600448
574,0,0.8367322011739955,0.16326779882600448
575,0,0.8367322011739955,0.16326779882600448
576,0,0.8367322011739955,0.16326779882600448
577,0,0.8367322011739955,0.16326779882600448
578,1,0.12407860988598868,0.8759213901140112
579,0,0.8367322011739955,0.16326779882600448
580,0,0.8367322011739955,0.16326779882600448
581,0,0.8367322011739955,0.16326779882600448
582,0,0.8367322011739955,0.16326779882600448
583,0,0.8367322011739955,0.16326779882600448
584,0,0.8367322011739955,0.16326779882600448
585,0,0.8367322011739955,0.16326779882600448
586,1,0.48581042473464325,0.5141895752653567
587,0,0.7563085600400921,0.24369143995990813
588,0,0.8184007155377541,0.18159928446224588
589,0,0.8184007155377541,0.18159928446224588
590,0,0.7922202802150948,0.20777971978490514
591,0,0.6947703708977992,0.30522962910220064
592,0,0.8367322011739955,0.16326779882600448
593,1,0.48581042473464325,0.5141895752653567
594,0,0.8551229964166008,0.14487700358339914
