construct,profile_1,profile_2,mean_1,mean_2,t_statistic,df,p_value,cohens_d,CI95_lower,CI95_upper
COVID,0,4,4.241992882562277,4.054421768707483,3.9150183426150824,524.0,0.0001024992444851242,0.34166407971205615,0.09344770346239964,0.28169452424718877
COVID,0,5,4.241992882562277,2.6857142857142855,13.122561682457658,349.0,9.549219336982638e-22,2.3829893842810654,1.320310877057652,1.7922463166383316
COVID,0,6,4.241992882562277,4.534246575342466,-4.29218472490712,352.0,3.596614303926576e-05,-0.5355614462523282,-0.42706098900999817,-0.15744639655037868
COVID,1,2,3.253333333333333,4.5246913580246915,-15.088492070319598,231.0,3.7626802294495106e-36,-1.9461778871477453,-1.4373847239980426,-1.1053313253846744
COVID,1,3,3.253333333333333,3.8345959595959593,-7.8437774884390175,387.0,2.421379854056117e-13,-0.9178730376325999,-0.7273742935291523,-0.43515095899610046
COVID,1,4,3.253333333333333,4.054421768707483,-10.909691618623153,368.0,5.584051280718206e-22,-1.314393847048817,-0.9458966583496079,-0.6562802123986923
COVID,1,5,3.253333333333333,2.6857142857142855,4.332929216582119,193.0,3.180948631240823e-05,0.6980360712652971,0.3081109547519083,0.8271271404861866
COVID,1,6,3.253333333333333,4.534246575342466,-14.566551339176707,196.0,9.842234875053031e-33,-1.9614597742077533,-1.4543719512645734,-1.107454532753692
COVID,2,3,4.5246913580246915,3.8345959595959593,10.639441326471248,370.0,2.261949575905868e-21,1.1929163507332337,0.5622212234667965,0.8179695733906678
COVID,2,4,4.5246913580246915,4.054421768707483,7.337790056761721,351.0,5.423445484013771e-12,0.8585107992828264,0.34388817202582267,0.5966510066085942
COVID,2,5,4.5246913580246915,2.6857142857142855,14.594661434282491,176.0,1.5440105829400835e-26,2.486853027077461,1.588994815260422,2.0889593293603896
COVID,2,6,4.5246913580246915,4.534246575342466,-0.11899348991664904,179.0,0.9054259057787749,-0.017692601225203143,-0.16810907522083,0.1489986405852816
COVID,3,4,3.8345959595959593,4.054421768707483,-4.397273084906188,507.0,1.3364481247093872e-05,-0.38895983584343513,-0.31804160272446175,-0.1216100154985857
COVID,3,5,3.8345959595959593,2.6857142857142855,9.617985231250355,332.0,3.668805434492895e-15,1.6931407152823905,0.9113103210443493,1.3864530267189985
COVID,3,6,3.8345959595959593,4.534246575342466,-10.056854468535679,335.0,6.041172853029242e-18,-1.2275185219216236,-0.8372879577830604,-0.5620132737099522
COVID,4,5,4.054421768707483,2.6857142857142855,11.4985286895132,313.0,8.606170408288156e-19,2.0890443796752787,1.1319191747058832,1.605495791280512
COVID,4,6,4.054421768707483,4.534246575342466,-6.96921935539064,316.0,1.6304875060102908e-10,-0.8974616203531638,-0.6160875977197298,-0.34356201555023547
COVID,5,6,2.6857142857142855,4.534246575342466,-14.386576459676608,141.0,1.6168584565662265e-26,-2.4351440178794346,-2.103322538162502,-1.5937420410938583
PU,0,1,4.1079478054567025,3.149333333333333,14.947125683270672,404.0,5.139627417250709e-35,1.6881467171080315,0.8321958935660916,1.0850330506806476
PU,0,2,4.1079478054567025,4.645061728395062,-10.277747848041564,387.0,7.50502974788027e-21,-1.0450357978575575,-0.640047173226981,-0.4341806726497375
PU,0,3,4.1079478054567025,3.6805555555555554,9.146397631153974,543.0,1.192616343244949e-18,0.7840680356591502,0.3356016710909634,0.5191828287113308
PU,0,4,4.1079478054567025,3.9442176870748296,3.719397154090559,524.0,0.0002212524548317254,0.3216908385597809,0.07725150566292938,0.25020873110081643
PU,0,5,4.1079478054567025,2.5,14.517592486957739,349.0,2.021377204114761e-24,2.566368700675004,1.3876291246832064,1.8282664862301985
PU,0,6,4.1079478054567025,4.319634703196347,-3.187151476688287,352.0,0.0018281065880552442,-0.39619100988601147,-0.34317882510704034,-0.08019497037224896
PU,1,2,3.149333333333333,4.645061728395062,-21.728475553332395,231.0,1.0277833905489415e-56,-2.780847821053246,-1.6313916580303307,-1.360065132093127
PU,1,3,3.149333333333333,3.6805555555555554,-8.205762437463704,387.0,1.968267461224747e-14,-0.9312174071872009,-0.6588125242781577,-0.40363192016628724
PU,1,4,3.149333333333333,3.9442176870748296,-12.65507682889304,368.0,2.8352788748287234e-27,-1.5222746934190365,-0.9187509410146182,-0.6710177664683752
PU,1,5,3.149333333333333,2.5,5.434763824846924,193.0,3.461331033258464e-07,0.8949456236921144,0.4124914185662232,0.8861752481004426
PU,1,6,3.149333333333333,4.319634703196347,-14.607177304353087,196.0,3.038542712904059e-32,-2.0308437199718985,-1.32840856387916,-1.0121941758468684
PU,2,3,4.645061728395062,3.6805555555555554,18.198441832739544,370.0,7.032698994394739e-48,1.8750700377078129,0.8601300305690673,1.0688823151099454
PU,2,4,4.645061728395062,3.9442176870748296,13.842866092204472,351.0,7.559497952209636e-32,1.5442257023066988,0.6010711708772932,0.8006169117631711
PU,2,5,4.645061728395062,2.5,18.89141787279358,176.0,4.6906866718250006e-33,3.3179757138364634,1.9194775489829008,2.370645907807223
PU,2,6,4.645061728395062,4.319634703196347,4.585345723938898,179.0,1.0026967818685789e-05,0.7153253292541842,0.18510134195046798,0.46575270844696115
PU,3,4,3.6805555555555554,3.9442176870748296,-5.872728274883807,507.0,7.79376527166508e-09,-0.517892099191939,-0.3518687856097354,-0.175455477428813
