respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2
725,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
726,1,0.059134393994596,0.6311125979440076,0.3097530080613963
727,1,0.16489188238592117,0.6730108856861128,0.16209723192796585
728,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
729,0,0.8144174291481332,0.09087795669501693,0.09470461415684979
730,0,0.9858216258571575,0.003701080842623765,0.01047729330021893
731,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
732,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
733,0,0.9348885623747702,0.02061780062356157,0.04449363700166811
734,0,0.7868753442732696,0.14347403938826553,0.06965061633846491
735,0,0.7644110456144666,0.06951491004405277,0.16607404434148054
736,0,0.9665206492335832,0.013867393688835532,0.019611957077581378
737,1,7.574502811403044e-10,0.9999881170263123,1.1882216237195612e-05
738,0,0.92705338835773,0.03972182002128038,0.03322479162098972
739,0,0.518778998450136,0.44130125191621744,0.039919749633646376
740,0,0.5866833386212842,0.2223320699838362,0.19098459139487958
741,0,0.8631493518462965,0.08630545287710131,0.05054519527660229
742,0,0.9348885623747702,0.02061780062356157,0.04449363700166811
743,0,0.7519874361262812,0.15242221032852168,0.09559035354519745
744,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
745,1,0.14704100636446088,0.7757245984184373,0.07723439521710206
746,0,0.7656504744372816,0.1473649323869845,0.08698459317573387
747,0,0.9433634338438095,0.003998851267976368,0.0526377148882143
748,0,0.7592628253058136,0.1385548410140078,0.10218233368017839
749,1,0.011591044702677258,0.7606282004940792,0.2277807548032435
750,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
751,1,0.059134393994596,0.6311125979440076,0.3097530080613963
752,1,0.38074881940066146,0.517918011186552,0.10133316941278654
753,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
754,1,0.0033688170779034043,0.9949065543524482,0.0017246285696482094
755,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
756,0,0.6330943242655602,0.0679920259926905,0.29891364974174917
757,1,0.2744244478912886,0.7117934619766868,0.013782090132024688
758,0,0.7592628253058136,0.1385548410140078,0.10218233368017839
759,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
760,0,0.9937206541473625,0.0030323977365944166,0.0032469481160431694
761,1,0.059134393994596,0.6311125979440076,0.3097530080613963
762,0,0.8722866543548997,0.04187277603014618,0.08584056961495427
763,0,0.9665206492335832,0.013867393688835532,0.019611957077581378
764,0,0.7289090795107981,0.17637555912543468,0.09471536136376735
765,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
766,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
767,0,0.70608640473623,0.20314629402365036,0.09076730124011992
768,1,0.38074881940066146,0.517918011186552,0.10133316941278654
769,1,0.38074881940066146,0.517918011186552,0.10133316941278654
770,0,0.689929534576861,0.19960156891406097,0.1104688965090778
771,0,0.6113122533987618,0.13951260775941676,0.24917513884182144
772,1,0.14704100636446088,0.7757245984184373,0.07723439521710206
773,2,0.388398911417941,0.022808712942254193,0.5887923756398049
774,0,0.4188754437951992,0.18120322480385856,0.3999213314009425
775,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
776,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
777,1,0.19343951577109947,0.4773192320391397,0.32924125218976114
778,2,0.06686856989785067,0.29861040201617145,0.634521028085978
779,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
780,2,0.15012308051210665,0.01863619401083961,0.831240725477054
781,1,0.14704100636446088,0.7757245984184373,0.07723439521710206
782,1,0.19343951577109947,0.4773192320391397,0.32924125218976114
783,1,0.38074881940066146,0.517918011186552,0.10133316941278654
784,2,0.05445893069338322,0.0795161625228727,0.8660249067837441
785,1,0.19343951577109947,0.4773192320391397,0.32924125218976114
786,1,0.16489188238592117,0.6730108856861128,0.16209723192796585
787,2,0.20442088426837815,0.23829620782536298,0.557282907906259
788,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
789,1,0.15178878506026047,0.8088021059208855,0.03940910901885384
790,2,0.41133325640661766,0.07416553233099675,0.5145012112623856
791,0,0.7229136388236292,0.12373321269172173,0.1533531484846489
792,2,0.06686856989785067,0.29861040201617145,0.634521028085978
793,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
794,1,0.16489188238592117,0.6730108856861128,0.16209723192796585
795,0,0.4188754437951992,0.18120322480385856,0.3999213314009425
796,2,0.15012308051210665,0.01863619401083961,0.831240725477054
797,2,0.3683763106649401,0.005505745826099623,0.6261179435089601
798,2,0.18282304596804083,0.07867525305144919,0.7385017009805099
799,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
800,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
801,2,0.18282304596804083,0.07867525305144919,0.7385017009805099
802,1,0.00039145374008190873,0.9944216592576581,0.005186887002259783
803,2,0.15012308051210665,0.01863619401083961,0.831240725477054
804,0,0.9665206492335832,0.013867393688835532,0.019611957077581378
805,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
806,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
807,0,0.8631493518462965,0.08630545287710131,0.05054519527660229
808,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
809,0,0.7519874361262812,0.15242221032852168,0.09559035354519745
810,0,0.689929534576861,0.19960156891406097,0.1104688965090778
811,0,0.518778998450136,0.44130125191621744,0.039919749633646376
812,0,0.8722866543548997,0.04187277603014618,0.08584056961495427
813,0,0.8722866543548997,0.04187277603014618,0.08584056961495427
814,0,0.7592628253058136,0.1385548410140078,0.10218233368017839
815,0,0.7592628253058136,0.1385548410140078,0.10218233368017839
816,0,0.70608640473623,0.20314629402365036,0.09076730124011992
817,0,0.7592628253058136,0.1385548410140078,0.10218233368017839
818,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
819,0,0.70608640473623,0.20314629402365036,0.09076730124011992
820,0,0.6671100690388398,0.26355004988644093,0.06933988107471938
821,2,0.0006146636785684653,0.0009318441618504208,0.9984534921595815
822,0,0.9937206541473625,0.0030323977365944166,0.0032469481160431694
823,0,0.6928354282773963,0.1744078489839406,0.1327567227386633
824,0,0.9858216258571575,0.003701080842623765,0.01047729330021893
825,0,0.92705338835773,0.03972182002128038,0.03322479162098972
826,0,0.8686258963262286,0.10279671879748609,0.028577384876285535
827,0,0.518778998450136,0.44130125191621744,0.039919749633646376
828,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
829,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
830,0,0.8686258963262286,0.10279671879748609,0.028577384876285535
831,0,0.9858216258571575,0.003701080842623765,0.01047729330021893
832,0,0.9941174756169251,0.0007631355213353037,0.005119388861739345
833,0,0.9772197944811298,0.00013638951551011517,0.022643816003359987
834,1,0.03248734437874432,0.9602585804378658,0.007254075183390095
835,1,0.38074881940066146,0.517918011186552,0.10133316941278654
